"jump_grad_press","jump_grad_dens","kappa_max","kappa","diffusion","sigma_a","sigma_t","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
0.0012474506843318522442,0.012811327879717282485,4.5664984870672207281e-05,1.0672946928653234295e-07,5.9792166325817799333,16.713036055840600369,16.713036055840600369,0,852,852,3
0.0012337892849529907835,0.012940977559992461465,4.5664107024204096468e-05,1.0634175033822256529e-07,5.9928941056496833895,16.674892079313245574,16.674892079313245574,0,853,853,3
0.0012261074573416408384,0.013247059578134212643,4.566322434929244602e-05,1.0587785516627275975e-07,6.0065367643221376781,16.637018343460539427,16.637018343460539427,0,854,854,3
0.00121268962303133776,0.013383527684709406458,4.5662336490830910405e-05,1.0550068271019367356e-07,6.0201442508145142085,16.599413147188531781,16.599413147188531781,0,855,855,3
0.0012052914065350250894,0.013692300601178430952,4.5661443919825773455e-05,1.0504172029465981167e-07,6.0337174232583743461,16.562071854722248077,16.562071854722248077,0,856,856,3
0.0011921091075919321156,0.013835602023391402327,4.5660546273473748681e-05,1.0467495730289435516e-07,6.0472559055216610346,16.524992886016299565,16.524992886016299565,0,857,857,3
0.0011849867683224601933,0.014147200166917173192,4.5659644026881003327e-05,1.0422065507164580194e-07,6.0607605635570873659,16.488171686771408986,16.488171686771408986,0,858,858,3
0.0011720322449093600881,0.014297352923676953651,4.5658736809564277707e-05,1.0386417231982122923e-07,6.0742310027910049186,16.451606794154532309,16.451606794154532309,0,859,859,3
0.001165178308099257265,0.014611909909945097752,4.565782510086525617e-05,1.0341426322744640194e-07,6.0876680973478789483,16.415293731132472033,16.415293731132472033,0,860,860,3
0.0011524440560606308281,0.014768934960557089653,4.5656908522566414411e-05,1.0306793905742402684e-07,6.1010714341122334048,16.379231148440794641,16.379231148440794641,0,861,861,3
0.0011458512908575357869,0.015086583949596388265,4.5655987558438016405e-05,1.0262216132135432677e-07,6.1144418957317396845,16.343414642284646021,16.343414642284646021,0,862,862,3
0.0011333300377600608044,0.015250504979121615179,4.5655061822535943962e-05,1.0228588142051503751e-07,6.1277790504426938867,16.307842973507099771,16.307842973507099771,0,863,863,3
0.0011269914602110020496,0.015571378484310116619,4.5654131803161321606e-05,1.0184397827607496543e-07,6.1410837897688184128,16.272511807694669983,16.272511807694669983,0,864,864,3
0.0011146761772522495448,0.015742222028165997472,4.5653197106609806665e-05,1.015176354574029091e-07,6.1543556631853917338,16.237420012510465739,16.237420012510465739,0,865,865,3
0.0011085850328242941032,0.016066451909864554182,4.5652258225932657325e-05,1.0107935491201403443e-07,6.1675955714457018075,16.202563319229128069,16.202563319229128069,0,866,866,3
0.0010964689256525161909,0.016244247522990917787,4.5651314759590571018e-05,1.0076284890669179871e-07,6.1808030451455344689,16.167940699209147226,16.167940699209147226,0,867,867,3
0.0010906186702754894213,0.016571965818911849055,4.5650367205514108732e-05,1.003279434998965862e-07,6.1939789946223786643,16.133547945874017415,16.133547945874017415,0,868,868,3
0.001078695155172226805,0.016756745655584381893,4.5649415154316187314e-05,1.0002118077537375865e-07,6.2071229314673743716,16.099384131309989243,16.099384131309989243,0,869,869,3
0.0010730794792550568673,0.017088083523958630394,4.5648459109001189972e-05,9.9589407360301650357e-08,6.2202357759582147523,16.065445107695531135,16.065445107695531135,0,870,870,3
0.001061342189331071495,0.017279882576985983178,4.5647498652229173449e-05,9.9292300917220191351e-08,6.2333170205499941474,16.031730045024914943,16.031730045024914943,0,871,871,3
0.0010559549673700985295,0.017614971437069470994,4.5646534292234732563e-05,9.8863420440098127713e-08,6.2463675958178370706,15.998234850975933341,15.998234850975933341,0,872,872,3
0.0010443977541285676125,0.017813827654208580498,4.5645565603726595387e-05,9.8575889651143968411e-08,6.259386974943299542,15.964958790771252239,15.964958790771252239,0,873,873,3
0.001039233069633382911,0.018152798633309430443,4.5644593100310473972e-05,9.8149666933785037488e-08,6.2723760991572863333,15.931897824463774782,15.931897824463774782,0,874,874,3
0.0010278499605362867442,0.01835875224514893489,4.5643616348652789609e-05,9.7871637368610022462e-08,6.2853344222237392813,15.899051309959201461,15.899051309959201461,0,875,875,3
0.0010229021040117913799,0.018701735966715204995,4.5642635867877484265e-05,9.7447840921156749617e-08,6.2982628963894597973,15.866415256684483381,15.866415256684483381,0,876,876,3
