"jump_grad_press","jump_grad_dens","kappa_max","kappa","diffusion","sigma_a","sigma_t","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
0.00011623157070062006824,0.0052268309809733182192,1.1079855905760606816e-05,1.9077975769729882717e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,49,49,3
0.00012001900813629617915,0.0052409170311875641346,1.1079856435258611909e-05,1.90198639097704683e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,50,50,3
0.00012428196896507870406,0.0052250754670239984989,1.1079856979078236523e-05,2.0108184602387625618e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,51,51,3
0.00012827838827433879487,0.0052399304695427417755,1.1079857537725264357e-05,2.0086664790723637044e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,52,52,3
0.00013275810579216340557,0.0052233702444937080145,1.1079858111679073709e-05,2.1209290113980674759e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,53,53,3
0.00013698236170966993086,0.005239153135335072875,1.1079858701471989211e-05,2.1226202602736929867e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,54,54,3
0.0001416953696207201574,0.0052217220363672822714,1.1079859307609736966e-05,2.2385106794237962336e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,55,55,3
0.00014615861982747446746,0.0052383345609996467829,1.1079859930652464944e-05,2.2442454725974990539e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,56,56,3
0.00015112461960598011501,0.0052198687917552888393,1.1079860571134429013e-05,2.3639675422084593331e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,57,57,3
0.00015584357970510609448,0.0052373285288922488689,1.1079861229647593393e-05,2.3739651972958363611e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,58,58,3
0.00016107694045786047354,0.005217875353991985321,1.1079861906753700173e-05,2.4977359939600672496e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,59,59,3
0.00016607216048214468174,0.0052364784933160990477,1.1079862603079091251e-05,2.5122258280247367478e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,60,60,3
0.00017158969421871006489,0.0052160379127599298954,1.1079863319217248734e-05,2.6402851500236339783e-11,0.17308499190089626785,577.35026918962580567,577.35026918962580567,0,61,61,3
