"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.00278,23.4276,399.349,0.0173681,23.3626,125.684,83.7895,1.01502,2.93279,1.97973,70,70,0.00552,0,0
1.00299,23.4277,399.457,0.0176339,23.3579,125.846,83.8971,1.01612,2.93358,1.97826,71,71,0.0056,0,0
1.00321,23.4278,399.572,0.017919,23.3529,126.019,84.0126,1.0173,2.93443,1.97669,72,72,0.00568,0,0
1.00344,23.4279,399.696,0.0182249,23.3475,126.205,84.1365,1.01856,2.93534,1.97501,73,73,0.00576,0,0
1.0037,23.428,399.829,0.0185529,23.3417,126.404,84.2695,1.01991,2.93631,1.97321,74,74,0.00584,0,0
1.00397,23.4281,399.972,0.0189047,23.3355,126.618,84.4123,1.02136,2.93735,1.97129,75,75,0.00592,0,0
1.00426,23.4283,400.125,0.019282,23.3288,126.848,84.5654,1.02292,2.93847,1.96923,76,76,0.006,0,0
1.00458,23.4284,400.289,0.0196867,23.3217,127.095,84.7298,1.02458,2.93967,1.96702,77,77,0.00608,0,0
1.00491,23.4285,400.466,0.0201206,23.314,127.359,84.9062,1.02637,2.94095,1.96466,78,78,0.00616,0,0
1.00527,23.4287,400.655,0.0205861,23.3058,127.643,85.0955,1.02829,2.94232,1.96213,79,79,0.00624,0,0
1.00566,23.4288,400.858,0.0210851,23.2969,127.948,85.2986,1.03035,2.94379,1.95943,80,80,0.00632,0,0
1.00608,23.429,401.076,0.0216203,23.2874,128.275,85.5167,1.03255,2.94537,1.95654,81,81,0.0064,0,0
1.00653,23.4292,401.31,0.0221942,23.2773,128.626,85.7507,1.03492,2.94705,1.95345,82,82,0.00648,0,0
1.00701,23.4294,401.561,0.0228095,23.2663,129.003,86.0018,1.03745,2.94886,1.95014,83,83,0.00656,0,0
1.00753,23.4296,401.83,0.0234691,23.2546,129.407,86.2713,1.04017,2.95079,1.94661,84,84,0.00664,0,0
1.00808,23.4299,402.12,0.0241764,23.242,129.841,86.5606,1.04308,2.95285,1.94284,85,85,0.00672,0,0
1.00868,23.4301,402.43,0.0249346,23.2285,130.307,86.8711,1.0462,2.95506,1.93881,86,86,0.0068,0,0
1.00932,23.4304,402.763,0.0257473,23.214,130.807,87.2044,1.04955,2.95741,1.93451,87,87,0.00688,0,0
1.01001,23.4307,403.121,0.0266184,23.1984,131.343,87.5621,1.05313,2.95994,1.92992,88,88,0.00696,0,0
1.01075,23.431,403.505,0.0275521,23.1817,131.919,87.946,1.05698,2.96263,1.92502,89,89,0.00704,0,0
1.01155,23.4314,403.917,0.0285527,23.1638,132.537,88.3581,1.06109,2.96551,1.9198,90,90,0.00712,0,0
1.01241,23.4317,404.359,0.0296249,23.1445,133.201,88.8005,1.0655,2.96859,1.91423,91,91,0.0072,0,0
1.01333,23.4321,404.834,0.0307738,23.1239,133.913,89.2754,1.07023,2.97187,1.9083,92,92,0.00728,0,0
1.01432,23.4326,405.343,0.0320047,23.1017,134.678,89.7852,1.07528,2.97538,1.90198,93,93,0.00736,0,0
1.01539,23.433,405.891,0.0333233,23.0779,135.499,90.3324,1.0807,2.97912,1.89525,94,94,0.00744,0,0
1.01654,23.4335,406.478,0.0347357,23.0523,136.38,90.9199,1.0865,2.98311,1.88809,95,95,0.00752,0,0
1.01777,23.4341,407.109,0.0362483,23.0248,137.326,91.5507,1.09271,2.98736,1.88047,96,96,0.0076,0,0
1.0191,23.4346,407.786,0.037868,22.9953,138.342,92.2279,1.09936,2.99189,1.87238,97,97,0.00768,0,0
1.02054,23.4353,408.513,0.0396021,22.9637,139.432,92.9549,1.10647,2.99672,1.86378,98,98,0.00776,0,0
1.02208,23.436,409.293,0.0414585,22.9297,140.603,93.7356,1.11408,3.00186,1.85466,99,99,0.00784,0,0
1.02374,23.4367,410.131,0.0434453,22.8932,141.861,94.5739,1.12221,3.00733,1.84498,100,100,0.00792,0,0
1.02553,23.4375,411.031,0.0455713,22.854,143.211,95.474,1.13092,3.01314,1.83472,101,101,0.008,0,0
1.02746,23.4384,411.998,0.0478457,22.8119,144.661,96.4407,1.14022,3.01932,1.82385,102,102,0.00808,0,0
1.02954,23.4393,413.036,0.0502784,22.7667,146.218,97.4788,1.15016,3.02588,1.81235,103,103,0.00816,0,0
1.03179,23.4403,414.15,0.0528796,22.7181,147.891,98.5937,1.16079,3.03284,1.80019,104,104,0.00824,0,0
