"jump_grad_press","jump_grad_dens","diffusion_aux","sigma_a_aux","sigma_t_aux","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
0.0265418,6.89139,0.117132,390.712,853.144,9.36707e-07,1.71777e-06,1.88404e-09,1.88404e-09,0,67,67
0.0266075,6.91363,0.117132,390.712,853.144,9.36699e-07,1.71777e-06,1.89798e-09,1.89798e-09,0,68,68
0.0266596,6.93528,0.117132,390.712,853.144,9.3669e-07,1.71777e-06,1.89502e-09,1.89502e-09,0,69,69
0.0267272,6.95783,0.117132,390.712,853.144,9.36681e-07,1.71776e-06,1.90952e-09,1.90952e-09,0,70,70
0.0267803,6.97975,0.117132,390.712,853.144,9.36672e-07,1.71776e-06,1.90614e-09,1.90614e-09,0,71,71
0.0268499,7.00262,0.117132,390.712,853.144,9.36663e-07,1.71775e-06,1.92124e-09,1.92124e-09,0,72,72
0.0269041,7.02481,0.117132,390.712,853.144,9.36653e-07,1.71775e-06,1.91742e-09,1.91742e-09,0,73,73
0.0269758,7.04801,0.117132,390.712,853.144,9.36643e-07,1.71775e-06,1.93315e-09,1.93315e-09,0,74,74
0.0270312,7.07049,0.117132,390.712,853.144,9.36633e-07,1.71774e-06,1.92885e-09,1.92885e-09,0,75,75
0.027105,7.09402,0.117132,390.712,853.144,9.36622e-07,1.71774e-06,1.94525e-09,1.94525e-09,0,76,76
0.0271616,7.1168,0.117132,390.712,853.144,9.36611e-07,1.71773e-06,1.94045e-09,1.94045e-09,0,77,77
0.0272378,7.14068,0.117132,390.712,853.144,9.366e-07,1.71773e-06,1.95756e-09,1.95756e-09,0,78,78
0.0272957,7.16376,0.117132,390.712,853.144,9.36589e-07,1.71772e-06,1.95222e-09,1.95222e-09,0,79,79
0.0273743,7.188,0.117132,390.712,853.144,9.36577e-07,1.71772e-06,1.97007e-09,1.97007e-09,0,80,80
0.0274335,7.21139,0.117132,390.712,853.144,9.36565e-07,1.71771e-06,1.96417e-09,1.96417e-09,0,81,81
0.0275147,7.23601,0.117132,390.712,853.144,9.36552e-07,1.71771e-06,1.9828e-09,1.9828e-09,0,82,82
0.0275754,7.25971,0.117132,390.712,853.144,9.36539e-07,1.7177e-06,1.97629e-09,1.97629e-09,0,83,83
0.0276593,7.28472,0.117132,390.712,853.144,9.36526e-07,1.7177e-06,1.99575e-09,1.99575e-09,0,84,84
0.0277216,7.30876,0.117132,390.712,853.144,9.36512e-07,1.71769e-06,1.98861e-09,1.98861e-09,0,85,85
0.0278083,7.33416,0.117132,390.712,853.144,9.36498e-07,1.71769e-06,2.00894e-09,2.00894e-09,0,86,86
0.0278722,7.35854,0.117132,390.712,853.144,9.36484e-07,1.71768e-06,2.00112e-09,2.00112e-09,0,87,87
0.027962,7.38436,0.117132,390.712,853.144,9.36469e-07,1.71767e-06,2.02237e-09,2.02237e-09,0,88,88
0.0280275,7.40908,0.117132,390.712,853.144,9.36454e-07,1.71767e-06,2.01384e-09,2.01384e-09,0,89,89
0.0281205,7.43534,0.117132,390.712,853.144,9.36438e-07,1.71766e-06,2.03605e-09,2.03605e-09,0,90,90
0.0281878,7.46042,0.117132,390.712,853.144,9.36422e-07,1.71765e-06,2.02676e-09,2.02676e-09,0,91,91
0.0282843,7.48713,0.117132,390.712,853.144,9.36406e-07,1.71765e-06,2.05e-09,2.05e-09,0,92,92
0.0283534,7.51258,0.117132,390.712,853.144,9.36388e-07,1.71764e-06,2.03991e-09,2.03991e-09,0,93,93
0.0284535,7.53975,0.117132,390.712,853.144,9.36371e-07,1.71763e-06,2.06423e-09,2.06423e-09,0,94,94
0.0285246,7.56559,0.117132,390.712,853.144,9.36353e-07,1.71763e-06,2.05328e-09,2.05328e-09,0,95,95
0.0286284,7.59324,0.117132,390.712,853.144,9.36334e-07,1.71762e-06,2.07874e-09,2.07874e-09,0,96,96
