"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.00067,0.140559,0.0222398,1.38204e-06,0.140465,0.012368,0.00824536,0.100095,1.64348,1.19863,93,93,0.00368,0,0
1.00076,0.140559,0.0222399,1.38232e-06,0.140452,0.012369,0.00824601,0.100094,1.64348,1.19852,94,94,0.00372,0,0
1.00071,0.140559,0.0222406,1.38261e-06,0.14046,0.0123691,0.0082461,0.1001,1.6435,1.19855,95,95,0.00376,0,0
1.0008,0.140559,0.0222406,1.38291e-06,0.140446,0.0123702,0.00824677,0.100099,1.6435,1.19844,96,96,0.0038,0,0
1.00075,0.140559,0.0222413,1.38322e-06,0.140454,0.0123703,0.00824688,0.100106,1.64353,1.19847,97,97,0.00384,0,0
1.00084,0.140559,0.0222414,1.38354e-06,0.14044,0.0123714,0.00824758,0.100105,1.64352,1.19836,98,98,0.00388,0,0
1.00079,0.140559,0.0222422,1.38386e-06,0.140448,0.0123716,0.00824771,0.100112,1.64355,1.19838,99,99,0.00392,0,0
1.00089,0.140559,0.0222423,1.3842e-06,0.140434,0.0123726,0.00824843,0.100111,1.64355,1.19827,100,100,0.00396,0,0
1.00083,0.140559,0.0222431,1.38455e-06,0.140442,0.0123729,0.00824859,0.100118,1.64358,1.19829,101,101,0.004,0,0
1.00093,0.140559,0.0222432,1.3849e-06,0.140428,0.012374,0.00824934,0.100117,1.64357,1.19818,102,102,0.00404,0,0
1.00088,0.140559,0.022244,1.38526e-06,0.140435,0.0123743,0.00824952,0.100125,1.6436,1.1982,103,103,0.00408,0,0
1.00098,0.140559,0.0222442,1.38564e-06,0.140421,0.0123754,0.0082503,0.100124,1.6436,1.19808,104,104,0.00412,0,0
1.00093,0.140559,0.022245,1.38603e-06,0.140428,0.0123758,0.0082505,0.100132,1.64363,1.1981,105,105,0.00416,0,0
1.00103,0.140559,0.0222452,1.38642e-06,0.140414,0.012377,0.00825131,0.100131,1.64363,1.19798,106,106,0.0042,0,0
1.00098,0.140559,0.022246,1.38683e-06,0.140421,0.0123773,0.00825154,0.100139,1.64366,1.19799,107,107,0.00424,0,0
1.00109,0.140559,0.0222463,1.38725e-06,0.140406,0.0123786,0.00825238,0.100139,1.64366,1.19787,108,108,0.00428,0,0
1.00104,0.140559,0.0222471,1.38768e-06,0.140413,0.012379,0.00825264,0.100147,1.64369,1.19788,109,109,0.00432,0,0
1.00115,0.140559,0.0222474,1.38813e-06,0.140398,0.0123803,0.00825352,0.100147,1.64369,1.19775,110,110,0.00436,0,0
1.0011,0.140559,0.0222483,1.38859e-06,0.140405,0.0123807,0.00825381,0.100155,1.64373,1.19776,111,111,0.0044,0,0
1.00121,0.140559,0.0222486,1.38906e-06,0.14039,0.0123821,0.00825472,0.100155,1.64373,1.19763,112,112,0.00444,0,0
1.00116,0.140559,0.0222495,1.38954e-06,0.140396,0.0123826,0.00825504,0.100164,1.64376,1.19763,113,113,0.00448,0,0
1.00127,0.140559,0.0222499,1.39004e-06,0.14038,0.012384,0.00825599,0.100164,1.64376,1.1975,114,114,0.00452,0,0
1.00122,0.140559,0.0222508,1.39055e-06,0.140387,0.0123845,0.00825635,0.100173,1.6438,1.19749,115,115,0.00456,0,0
1.00134,0.140559,0.0222512,1.39108e-06,0.140371,0.012386,0.00825734,0.100174,1.6438,1.19736,116,116,0.0046,0,0
1.00129,0.140559,0.0222522,1.39162e-06,0.140377,0.0123866,0.00825773,0.100183,1.64384,1.19735,117,117,0.00464,0,0
1.00141,0.140559,0.0222526,1.39218e-06,0.140361,0.0123881,0.00825877,0.100184,1.64384,1.19721,118,118,0.00468,0,0
1.00137,0.140559,0.0222537,1.39275e-06,0.140367,0.0123888,0.0082592,0.100193,1.64388,1.1972,119,119,0.00472,0,0
1.00149,0.140559,0.0222541,1.39334e-06,0.14035,0.0123904,0.00826028,0.100194,1.64389,1.19705,120,120,0.00476,0,0
1.00145,0.140559,0.0222552,1.39394e-06,0.140356,0.0123911,0.00826075,0.100204,1.64393,1.19704,121,121,0.0048,0,0
1.00157,0.140559,0.0222557,1.39457e-06,0.140339,0.0123928,0.00826187,0.100205,1.64393,1.19689,122,122,0.00484,0,0
1.00153,0.140559,0.0222569,1.39521e-06,0.140344,0.0123936,0.00826239,0.100216,1.64398,1.19687,123,123,0.00488,0,0
1.00166,0.140559,0.0222574,1.39587e-06,0.140327,0.0123953,0.00826356,0.100217,1.64398,1.19672,124,124,0.00492,0,0
1.00162,0.140559,0.0222586,1.39655e-06,0.140332,0.0123962,0.00826413,0.100228,1.64403,1.19669,125,125,0.00496,0,0
1.00175,0.140559,0.0222592,1.39725e-06,0.140314,0.012398,0.00826536,0.10023,1.64403,1.19653,126,126,0.005,0,0
1.00171,0.140559,0.0222604,1.39797e-06,0.140318,0.0123989,0.00826597,0.100241,1.64408,1.19651,127,127,0.00504,0,0
1.00185,0.140559,0.0222611,1.3987e-06,0.1403,0.0124009,0.00826725,0.100243,1.64409,1.19634,128,128,0.00508,0,0
