"jump_grad_press","jump_grad_dens","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
4122.95,2.78175,0.00015589,0.000234408,1.1447e-06,1.1447e-06,0,130,130
4140.42,2.9134,0.000155879,0.000234413,1.22448e-06,1.22448e-06,0,131,131
4163.01,3.03809,0.000155868,0.000234417,1.16077e-06,1.16077e-06,0,132,132
4180.8,3.17422,0.000155856,0.000234422,1.24584e-06,1.24584e-06,0,133,133
4204.08,3.30278,0.000155844,0.000234426,1.17713e-06,1.17713e-06,0,134,134
4222.22,3.44354,0.000155832,0.000234431,1.26784e-06,1.26784e-06,0,135,135
4246.24,3.57606,0.000155819,0.000234436,1.19376e-06,1.19376e-06,0,136,136
4264.75,3.72161,0.000155805,0.000234442,1.2905e-06,1.2905e-06,0,137,137
4289.57,3.8582,0.000155791,0.000234447,1.21069e-06,1.21069e-06,0,138,138
4308.48,4.00868,0.000155777,0.000234453,1.31388e-06,1.31388e-06,0,139,139
4334.17,4.14943,0.000155762,0.000234459,1.22791e-06,1.22791e-06,0,140,140
4353.5,4.305,0.000155746,0.000234465,1.33799e-06,1.33799e-06,0,141,141
4380.13,4.44999,0.00015573,0.000234471,1.24544e-06,1.24544e-06,0,142,142
4399.94,4.6108,0.000155714,0.000234478,1.36287e-06,1.36287e-06,0,143,143
4427.58,4.76011,0.000155696,0.000234485,1.26329e-06,1.26329e-06,0,144,144
4447.91,4.92631,0.000155679,0.000234492,1.38857e-06,1.38857e-06,0,145,145
4476.65,5.08,0.00015566,0.000234499,1.28147e-06,1.28147e-06,0,146,146
4497.55,5.25171,0.000155641,0.000234507,1.41513e-06,1.41513e-06,0,147,147
4527.49,5.40982,0.000155621,0.000234514,1.29998e-06,1.29998e-06,0,148,148
4548.98,5.58748,0.0001556,0.000234522,1.44259e-06,1.44259e-06,0,149,149
4580.1,5.75097,0.000155579,0.00023453,1.32535e-06,1.32535e-06,0,150,150
4602.11,5.9357,0.000155557,0.000234539,1.47101e-06,1.47101e-06,0,151,151
4634.44,6.10514,0.000155534,0.000234548,1.35203e-06,1.35203e-06,0,152,152
4656.99,6.29737,0.00015551,0.000234557,1.50042e-06,1.50042e-06,0,153,153
4690.62,6.47307,0.000155486,0.000234566,1.37967e-06,1.37967e-06,0,154,154
4713.74,6.6732,0.00015546,0.000234576,1.53088e-06,1.53088e-06,0,155,155
4748.76,6.85545,0.000155434,0.000234586,1.40831e-06,1.40831e-06,0,156,156
4772.5,7.06391,0.000155407,0.000234596,1.56245e-06,1.56245e-06,0,157,157
4809.01,7.25303,0.000155378,0.000234607,1.43802e-06,1.43802e-06,0,158,158
4833.4,7.47028,0.000155349,0.000234618,1.59518e-06,1.59518e-06,0,159,159
4871.51,7.66661,0.000155319,0.000234629,1.46885e-06,1.46885e-06,0,160,160
4896.61,7.89313,0.000155287,0.000234641,1.62912e-06,1.62912e-06,0,161,161
4936.45,8.09701,0.000155255,0.000234653,1.50085e-06,1.50085e-06,0,162,162
4962.3,8.33333,0.000155221,0.000234666,1.66435e-06,1.66435e-06,0,163,163
5003.99,8.54514,0.000155186,0.000234679,1.53409e-06,1.53409e-06,0,164,164
5030.67,8.7918,0.00015515,0.000234692,1.70093e-06,1.70093e-06,0,165,165
5074.35,9.01193,0.000155112,0.000234706,1.56863e-06,1.56863e-06,0,166,166
5101.93,9.26951,0.000155073,0.00023472,1.73894e-06,1.73894e-06,0,167,167
5147.76,9.49838,0.000155033,0.000234734,1.60455e-06,1.60455e-06,0,168,168
5176.31,9.76751,0.000154991,0.00023475,1.77844e-06,1.77844e-06,0,169,169
5224.48,10.0056,0.000154948,0.000234765,1.6419e-06,1.6419e-06,0,170,170
5254.08,10.2869,0.000154903,0.000234781,1.81951e-06,1.81951e-06,0,171,171
5304.77,10.5346,0.000154857,0.000234798,1.68078e-06,1.68078e-06,0,172,172
5335.54,10.8288,0.000154809,0.000234815,1.86225e-06,1.86225e-06,0,173,173
